Number;Property;Title;Value;Format;State;Id;
27;7704786030-metro;Входы и выходы вестибюлей станций Московского метрополитена;https://data.mos.ru/apiproxy/opendata/7704786030-vhody-i-vyhody-vestibyuley-stantsiy-moskovskogo-metropolitena/meta.csv;csv;Активный;624;
28;7719028495-Progymnasium;(Архив) Прогимназия;https://data.mos.ru/apiproxy/opendata/7719028495-progimnaziya/meta.csv;csv;Архивный;557;
29;7719028495-Sanatoriumboardingschool;(Архив) Санаторная школа-интернат;https://data.mos.ru/apiproxy/opendata/7719028495-sanatornaya-shkola-internat/meta.csv;csv;Архивный;559;
30;7719028495-ElementarySchoolKindergarten;(Архив) Начальная школа - детский сад;https://data.mos.ru/apiproxy/opendata/7719028495-nachalnaya-shkola-detskiy-sad/meta.csv;csv;Архивный;555;
31;7719028495-Technicums;(Архив) Образовательные учреждения города Москвы, реализующие программы среднего профессионального образования. Техникумы;https://data.mos.ru/apiproxy/opendata/7719028495-obrazovatelnye-uchrejdeniya-goroda-moskvy-realizuyushchie-programmy-srednego-professionalnogo-obrazovaniya-tehnikumy/meta.csv;csv;Архивный;556;
32;7710881420-Regionalfair;Региональные ярмарки;https://data.mos.ru/apiproxy/opendata/7710881420-regionalnye-yarmarki/meta.csv;csv;Активный;653;
33;7719028495-Sociopedagogicaldirection;(Архив) Социально-педагогическое направление;https://data.mos.ru/apiproxy/opendata/7719028495-sotsialno-pedagogicheskoe-napravlenie/meta.csv;csv;Архивный;561;
34;7719028495-Socioeconomicdirection;(Архив) Социально-экономическое направление;https://data.mos.ru/apiproxy/opendata/7719028495-sotsialno-ekonomicheskoe-napravlenie/meta.csv;csv;Архивный;562;
35;7719028495-SpecialSchooldeviantbehavior;(Архив) Специальная общеобразовательная школа для детей и подростков с девиантным поведением;https://data.mos.ru/apiproxy/opendata/7719028495-spetsialnaya-obshcheobrazovatelnaya-shkola-dlya-detey-i-podrostkov-s-deviantnym-povedeniem/meta.csv;csv;Архивный;563;
36;7719028495-Secondaryschools;(Архив) Средняя образовательная школа;https://data.mos.ru/apiproxy/opendata/7719028495-srednyaya-obrazovatelnaya-shkola/meta.csv;csv;Архивный;565;
